id,name,quantity,price
0,Apple,53,35.86
1,Banana,2,30.34
11,Beef,128,12.77
17,Bread,91,17.15
6,Butter,116,17.6
7,Cheese,195,12.89
10,Chicken,154,37.22
9,Cream,83,16.78
24,Detergent,39,20.85
18,Flour,126,43.98
4,Grape,180,38.67
3,Mango,172,37.77
5,Milk,196,11.81
25,Notebook,36,37
2,Orange,13,29.06
16,Pasta,10,46.06
26,Pen,108,34.59
27,Pencil,16,16.07
12,Pork,65,41.57
15,Rice,186,12.5
13,Salmon,145,42.11
29,Scissors,72,27.99
20,Shampoo,185,44.79
21,Soap,41,9.1
28,Stapler,118,18.01
19,Sugar,39,14.14
23,Tissue,185,13.43
22,Toothpaste,53,12.71
14,Tuna,154,33.67
8,Yogurt,94,31.33
